브랜드명,키워드1,키워드2,키워드3,키워드4
게스,게스,guess,,
겐조,겐조,kenzo,,
구찌,구찌,gucci,,
꼼데가르송,꼼데,comme,,
끌로에,끌로에,chloe,,
나이키,나이키,nike,,
노스페이스,노스페이스,northface,,
뉴발란스,뉴발란스,newbalance,,
던힐,던힐,dunhill,,
돌체앤가바나,돌체,dolce,d&g,
디올,디올,dior,,
디젤,디젤,diesel,,
디케이앤와이,디케이앤와이,dkny,donnakaran,도나카란
띠어리,띠어리,theory,,
라코스테,라코스테,lacoste,,
란셀,란셀,lancel,,
랄프로렌,랄프로렌,ralphlauren,폴로,polo
랑방,랑방,lanvin,,
루이비통,루이비통,louisvuitton,,
르꼬끄스포르티브,르꼬끄,lecoq,,
리바이스,리바이스,levi,levi's,
리복,리복,reebok,,
마크제이콥스,마크제이콥스,marcjacobs,,
몽클레어,몽클레르,몽클레어,moncler,
발렌시아가,발렌시아가,balenciaga,,
발렌티노,발렌티노,valentino,,
발망,발망,balmain,,
버버리,버버리,burberry,,
베르사체,베르사체,versace,,
불가리,불가리,bvlgari,,
살바토레페라가모,페라가모,ferragamo,,
생로랑,생로랑,saintlaurent,,
샤넬,샤넬,chanel,,
스톤아일랜드,스톤아일랜드,stoneisland,,
아디다스,아디다스,adidas,,
언더아머,언더아머,underarmour,,
에르메스,에르메스,hermes,,
아르마니,아르마니,armani,,
지방시,지방시,givenchy,,
챔피언,챔피언,champion,,
캐나다구스,캐나다구스,canadagoose,,
캘빈클라인,캘빈클라인,calvinklein,,
타미힐피거,타미,tommy,hilfiger,토미
톰브라운,톰브라운,thombrowne,,
파타고니아,파타고니아,patagonia,,
펜디,펜디,fendi,휀디,
푸마,푸마,puma,퓨마,
프라다,프라다,prada,,
휴고,휴고,hugo,,
휠라,휠라,필라,fila,
데상트,데상트,descente,,
닥스,닥스,daks,,
피에르가르뎅,피에르가르뎅,pierre,,
자라,자라,zara,,
유니클로,유니클로,uniqlo,,
막스마라,막스마라,max,,
폴스미스,폴스미스,paulsmith,,
아쿠아스큐텀,아쿠아스큐텀,aquascutum,,
갭,갭,gap,,
엄브로,엄브로,umbro,,
해지스,해지스,hazzys,,
빔스,빔스,빔즈,beams,
지유,지유,GU,gu,
